threads,phase,iteration,value,unit,mode,benchmark
2,warmup,1,349985.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
2,warmup,2,331548.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
2,warmup,3,225745.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
2,warmup,4,370842.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
2,warmup,5,369679.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
2,iteration,1,370385.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
2,iteration,2,371195.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
2,iteration,3,370891.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
2,iteration,4,370836.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
2,iteration,5,371296.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
2,iteration,6,371494.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
2,iteration,7,371011.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
2,iteration,8,370923.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
2,iteration,9,370905.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
2,iteration,10,371146.000000000,ops/s,thrpt,com.tahs.benchmark.IndexingBenchmarks.throughputIndexing_roundRobin
2,warmup,1,4.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
2,warmup,2,4.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
2,warmup,3,4.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
2,warmup,4,4.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
2,warmup,5,4.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
2,iteration,1,4.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
2,iteration,2,4.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
2,iteration,3,4.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
2,iteration,4,4.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
2,iteration,5,4.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
2,iteration,6,4.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
2,iteration,7,4.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
2,iteration,8,4.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
2,iteration,9,4.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
2,iteration,10,4.000000000,s/op,avgt,com.tahs.benchmark.IndexingBenchmarks.indexLatency_perBook
