timestamp_ms,cpu_percent,used_memory_mb
1761618561032,23.53,15846.81
1761618561237,48.48,15893.92
1761618561437,48.41,15920.36
1761618561637,26.71,15923.34
1761618561837,46.20,15955.16
1761618562037,0.00,15962.80
1761618562233,0.00,15961.70
1761618562437,26.04,15968.92
1761618562636,20.00,15968.30
1761618562835,21.02,15967.83
1761618563035,27.04,15970.95
1761618563237,21.47,15978.69
1761618563437,20.63,15978.38
1761618563637,26.11,15981.38
1761618563837,24.07,15981.38
1761618564037,24.20,15981.38
1761618564237,27.78,15981.38
1761618564437,29.03,15981.38
1761618564637,24.84,16036.72
1761618564837,22.50,16035.77
1761618565037,28.30,16034.53
1761618565237,29.19,16034.53
1761618565435,22.73,16034.53
1761618565634,23.90,16034.53
1761618565834,26.09,16047.05
1761618566037,24.38,16051.41
1761618566234,25.48,16058.09
1761618566437,0.00,16065.02
1761618566633,0.00,16135.17
1761618566834,25.47,16147.17
1761618567037,21.12,16145.63
1761618567234,21.15,16156.63
1761618567437,0.00,16206.98
1761618567637,0.00,16209.75
1761618567836,22.82,16208.05
1761618568037,27.50,16209.88
1761618568236,23.75,16209.88
1761618568433,0.00,16209.88
1761618568635,0.00,16209.88
1761618568837,26.21,16205.19
1761618569035,26.42,16219.66
1761618569237,24.22,16228.64
1761618569433,19.48,16227.69
1761618569633,20.99,16227.47
1761618569837,20.63,16226.97
1761618570037,23.27,16225.84
1761618570233,26.42,16270.08
1761618570436,24.53,16273.42
1761618570637,24.22,16272.72
1761618570837,29.81,16271.38
1761618571037,30.00,16283.92
1761618571237,33.75,16284.45
1761618571437,37.74,16290.55
1761618571637,31.01,16286.56
1761618571836,37.11,16300.78
1761618572037,39.62,16298.16
1761618572237,34.78,16292.94
1761618572435,34.18,16288.13
1761618572635,36.08,16288.31
1761618572837,31.06,16288.31
1761618573037,32.70,16288.31
1761618573237,33.13,16288.31
1761618573437,30.82,16294.14
1761618573633,28.10,16292.95
1761618573837,23.60,16291.36
1761618574037,0.00,16287.75
1761618574236,0.00,16286.38
1761618574437,0.00,16286.56
1761618574637,24.06,16286.69
1761618574837,22.50,16289.98
1761618575037,0.00,16292.48
1761618575237,0.00,16292.48
1761618575437,0.00,16292.48
1761618575637,29.92,16290.02
1761618575837,28.93,16291.06
1761618576037,28.40,16290.11
1761618576236,26.92,16286.78
1761618576437,29.19,16293.59
1761618576637,24.84,16287.84
1761618576837,27.50,16288.63
1761618577036,28.75,16286.98
1761618577237,27.50,16286.98
1761618577437,29.38,16286.98
1761618577637,20.63,16286.98
1761618577836,26.11,16286.98
1761618578038,27.95,16295.42
1761618578237,24.05,16302.72
1761618578436,27.67,16298.05
1761618578633,29.75,16298.67
1761618578837,29.01,16293.78
1761618579037,24.38,16293.78
1761618579235,29.11,16296.73
1761618579437,26.09,16297.80
1761618579633,0.00,16295.47
1761618579837,0.00,16295.47
1761618580033,0.00,16295.47
1761618580235,28.12,16299.92
1761618580436,31.06,16298.02
1761618580637,28.93,16265.13
1761618580832,26.45,16260.42
1761618581037,28.40,16259.16
1761618581237,31.87,16260.22
1761618581437,24.53,16257.52
1761618581637,30.63,16251.50
1761618581837,25.95,16249.06
1761618582037,41.25,16244.86
1761618582237,36.02,16247.64
1761618582437,41.14,16250.59
1761618582637,38.75,16247.91
1761618582837,37.50,16250.86
1761618583037,28.57,16247.17
1761618583237,0.00,16252.64
1761618583436,26.81,16255.09
1761618583637,31.65,16249.52
1761618583837,32.72,16250.88
1761618584037,35.26,16246.30
1761618584237,24.22,16246.30
1761618584437,27.39,16255.80
1761618584637,28.13,16248.64
1761618584837,28.93,16248.52
1761618585036,31.45,16247.30
1761618585237,26.54,16253.77
1761618585432,28.39,16249.03
1761618585637,24.07,16250.73
1761618585833,25.48,16249.31
1761618586037,34.16,16261.17
1761618586237,23.13,16262.31
1761618586432,29.75,16264.63
1761618586635,29.38,16260.11
1761618586837,29.11,16259.58
1761618587033,33.12,16268.31
1761618587233,28.75,16264.97
1761618587437,25.93,16264.97
1761618587637,27.50,16264.97
1761618587837,29.30,16264.97
1761618588033,33.76,16251.92
1761618588234,38.99,16252.63
1761618588432,37.89,16260.56
1761618588637,37.65,16256.72
1761618588833,38.06,16259.17
1761618589035,34.36,16252.95
1761618589237,26.71,16260.88
1761618589437,25.48,16256.70
1761618589637,0.00,16260.83
1761618589837,0.00,16261.02
1761618590033,0.00,16256.25
1761618590237,26.76,16256.14
1761618590436,29.75,16258.52
1761618590637,25.00,16256.31
1761618590837,40.88,16253.20
1761618591036,44.94,16264.11
1761618591237,45.68,16279.42
1761618591437,54.78,16274.45
1761618591634,53.46,16285.48
1761618591837,53.70,16292.97
1761618592037,0.00,15862.42
1761618592236,0.00,15882.66
1761618592436,0.00,15891.25
1761618592635,47.64,15905.02
1761618592834,51.59,15913.86
1761618593035,63.19,15978.44
1761618593237,51.25,15980.66
1761618593433,50.00,15995.00
1761618593635,53.66,16027.84
1761618593836,28.93,16034.50
1761618594036,26.58,16030.97
1761618594233,27.85,16033.63
1761618594437,24.07,16031.17
1761618594636,31.45,16027.92
1761618594834,29.11,16084.23
1761618595037,30.00,16082.48
1761618595232,25.16,16082.48
1761618595437,23.78,16082.48
1761618595634,27.04,16082.48
1761618595837,22.22,16075.52
1761618596037,25.48,16074.45
1761618596237,23.75,16072.58
1761618596437,21.25,16072.05
1761618596633,34.18,16071.31
1761618596837,23.27,16053.72
1761618597037,24.54,16051.73
1761618597233,0.00,16049.61
1761618597432,0.00,16050.98
1761618597637,0.00,16050.98
1761618597837,0.00,16050.98
1761618598034,22.29,16050.98
1761618598235,26.42,16050.20
1761618598435,25.47,16046.23
1761618598635,49.07,16046.23
1761618598837,50.93,16046.23
1761618599033,55.00,16046.23
1761618599237,40.25,16067.94
1761618599437,34.81,16066.44
1761618599637,48.43,16066.44
1761618599835,38.13,16066.44
1761618600037,37.89,16066.44
1761618600237,42.86,16073.66
1761618600437,36.71,16074.11
1761618600632,50.32,16078.42
1761618600837,0.00,16073.73
1761618601037,0.00,16072.67
1761618601237,36.72,16071.95
1761618601437,40.99,16070.98
1761618601637,45.00,16074.67
1761618601837,42.14,16066.00
1761618602037,36.25,16066.95
1761618602237,38.99,16067.08
1761618602437,33.95,16069.52
1761618602633,42.58,16063.30
1761618602837,36.36,16061.13
1761618603036,38.36,16060.92
1761618603233,36.54,16061.92
1761618603437,33.95,16057.75
