timestamp_ms,book_id,latency_ms,cpu_percent,used_memory_mb,total_memory_mb
1761825064789,3334,648.250,0.00,12.02,4112.52
1761825065407,48500,611.068,0.68,12.63,4112.52
1761825066024,26045,614.864,0.27,12.94,4112.52
1761825066637,51670,612.042,0.41,13.41,4112.52
1761825067250,38443,611.790,0.41,13.73,4112.52
1761825067871,62601,619.342,0.41,14.12,4112.52
1761825068487,69617,614.101,0.41,14.58,4112.52
1761825069108,8716,617.678,0.54,15.28,4112.52
1761825069723,35114,613.978,0.41,15.59,4112.52
1761825070335,27682,611.588,0.28,15.91,4112.52
1761825070947,22355,610.602,0.55,16.22,4112.52
1761825071562,19830,614.022,0.27,16.69,4112.52
1761825072181,1917,616.685,0.41,17.00,4112.52
1761825072792,15615,610.665,0.28,17.31,4112.52
1761825073449,59252,651.446,0.26,17.78,4112.52
1761825074070,20472,618.813,0.41,18.33,4112.52
1761825074713,58699,639.694,0.26,18.63,4112.52
1761825075400,60881,641.104,0.74,19.61,4112.52
1761825076017,50691,616.035,0.27,19.95,4112.52
1761825076656,59049,634.405,0.13,20.11,4112.52
1761825077287,50834,630.284,0.27,20.58,4112.52
1761825077947,51091,657.577,0.39,21.11,4112.52
1761825078585,43856,632.516,0.26,21.44,4112.52
1761825079196,27973,608.938,0.14,21.92,4112.52
1761825079822,17069,624.486,0.27,22.20,4112.52
1761825080437,40504,612.352,0.14,22.52,4112.52
1761825081066,42566,624.071,0.27,23.02,4112.52
1761825081711,35012,640.329,0.39,23.34,4112.52
1761825082326,42313,613.221,0.14,23.64,4112.52
1761825082964,26694,635.750,0.53,24.10,4112.52
1761825083612,3350,638.217,0.26,24.60,4112.52
1761825084235,60605,621.677,0.27,24.91,4112.52
1761825084851,34640,614.088,0.14,25.37,4112.52
1761825085465,57499,608.490,0.28,25.97,4112.52
1761825086075,26311,607.401,0.00,26.40,4112.52
1761825086701,39187,623.326,0.40,26.91,4112.52
1761825087333,4060,624.524,0.13,27.22,4112.52
1761825088040,630,702.946,0.60,27.53,4112.52
1761825088715,17973,671.942,0.25,28.00,4112.52
1761825089354,67398,627.887,0.66,28.31,4112.52
1761825089998,40959,642.183,0.39,28.49,4112.52
1761825090629,28169,629.086,0.27,29.02,4112.52
1761825091254,8865,624.515,0.27,29.34,4112.52
1761825091901,43086,638.016,0.26,29.66,4112.52
1761825092524,27112,618.282,0.14,30.14,4112.52
1761825093217,25897,692.075,0.24,30.44,4112.52
1761825093861,13079,641.291,0.26,30.59,4112.52
1761825094485,48373,622.396,0.40,31.30,4112.52
1761825095116,23303,629.356,0.00,31.61,4112.52
1761825095754,37017,628.491,0.40,32.19,4112.52
1761825096408,28167,651.954,0.13,32.69,4112.52
1761825097042,36694,631.678,0.27,33.01,4112.52
1761825097672,39037,625.943,0.13,33.31,4112.52
1761825098321,18119,649.046,0.39,33.77,4112.52
1761825098966,14898,637.689,0.26,34.09,4112.52
1761825099613,47965,644.311,0.39,34.39,4112.52
1761825100260,40741,644.153,0.26,34.79,4112.52
1761825100896,4131,634.625,0.13,35.10,4112.52
1761825101509,6024,611.157,0.27,35.57,4112.52
1761825102143,8653,630.524,0.13,35.87,4112.52
1761825102777,64538,631.267,0.13,36.38,4112.52
1761825103400,50797,623.175,0.27,36.84,4112.52
1761825104061,45714,656.979,0.25,37.19,4112.52
1761825104726,43131,663.655,0.38,37.50,4112.52
1761825105352,29247,624.417,0.13,37.97,4112.52
1761825105991,23023,632.926,0.26,38.56,4112.52
1761825106620,3907,623.881,0.27,38.89,4112.52
1761825107259,4307,637.043,0.13,39.32,4112.52
1761825107893,24435,630.423,0.27,39.79,4112.52
1761825108511,69256,616.107,0.27,40.10,4112.52
1761825109144,1120,625.306,0.26,40.40,4112.52
1761825109809,29079,663.975,0.25,40.72,4112.52
1761825110435,15999,620.825,0.13,41.08,4112.52
1761825111104,62054,665.748,0.25,41.58,4112.52
