timestamp_ms,term,latency_ms,cpu_percent,used_memory_mb,total_memory_mb
1761602985768,book,30619.412,0.00,24.35,4294.97
1761603016402,science,30616.647,0.04,24.35,4294.97
1761603047015,death,30610.429,0.03,24.82,4294.97
1761603077635,war,30617.075,0.03,25.07,4294.97
1761603108249,love,30609.231,0.04,9.07,4294.97
1761603138867,book,30615.116,0.02,9.10,4294.97
1761603169485,science,30616.484,0.02,9.10,4294.97
1761603200104,death,30616.448,0.02,9.10,4294.97
1761603230717,war,30610.874,0.03,9.10,4294.97
1761603261336,love,30616.517,0.02,9.10,4294.97
1761603291954,book,30615.511,0.02,9.10,4294.97
1761603322574,science,30617.181,0.02,9.53,4294.97
1761603353192,death,30615.703,0.02,9.53,4294.97
1761603771311,book,30626.367,0.00,24.35,4294.97
1761603801937,science,30615.861,0.03,24.82,4294.97
1761603832554,death,30615.504,0.02,24.82,4294.97
1761603863173,war,30614.923,0.02,24.82,4294.97
1761603893794,love,30616.070,0.03,9.10,4294.97
1761603924415,book,30617.502,0.02,9.10,4294.97
1761603955035,science,30617.544,0.02,9.10,4294.97
1761603985653,death,30616.014,0.02,9.10,4294.97
1761604016274,war,30616.568,0.03,9.10,4294.97
1761604046889,love,30612.021,0.02,9.10,4294.97
1761604077508,book,30616.528,0.02,9.10,4294.97
1761604108122,science,30612.233,0.02,9.50,4294.97
1761604138736,death,30611.819,0.02,9.50,4294.97
1761604170006,book,30623.889,0.00,24.35,4294.97
1761604200638,science,30615.141,0.03,24.82,4294.97
1761604231255,death,30614.443,0.02,24.82,4294.97
1761604261866,war,30609.455,0.02,24.82,4294.97
1761604292485,love,30615.149,0.03,9.44,4294.97
1761604323106,book,30617.650,0.02,9.44,4294.97
1761604353719,science,30610.442,0.02,9.44,4294.97
1761604384335,death,30613.251,0.02,9.44,4294.97
1761604414955,war,30617.254,0.03,9.44,4294.97
1761604445573,love,30614.839,0.02,9.44,4294.97
1761604476190,book,30615.147,0.02,9.86,4294.97
1761604528577,book,30624.130,0.00,24.35,4294.97
1761604559205,science,30617.670,0.03,24.82,4294.97
1761604589821,death,30613.870,0.02,24.82,4294.97
1761604620441,war,30616.487,0.02,24.82,4294.97
1761604651058,love,30613.946,0.04,8.77,4294.97
1761604681679,book,30618.096,0.02,9.39,4294.97
1761604712299,science,30615.345,0.02,9.39,4294.97
1761604742919,death,30617.034,0.02,9.39,4294.97
1761604773537,war,30615.270,0.02,9.39,4294.97
1761604804157,love,30617.363,0.02,9.39,4294.97
1761604834776,book,30616.324,0.02,9.39,4294.97
1761604865396,science,30616.648,0.02,9.84,4294.97
1761604896014,death,30615.082,0.02,9.84,4294.97
1761604926632,war,30616.210,0.02,9.84,4294.97
1761604957246,love,30610.876,0.03,9.84,4294.97
1761604988478,book,30624.350,0.00,24.35,4294.97
1761605019100,science,30612.355,0.03,24.35,4294.97
1761605049715,death,30611.972,0.02,24.82,4294.97
1761605080329,war,30611.476,0.03,24.82,4294.97
1761605110949,love,30617.490,0.03,8.77,4294.97
1761605141569,book,30617.239,0.02,9.10,4294.97
1761605172191,science,30617.092,0.02,9.10,4294.97
1761605202811,death,30617.102,0.02,9.39,4294.97
